listingId,propertyId,address,price,beds,baths,sqft,lat,lon,url,photo_url,yearBuilt,lotSize
208714089,172612470,"900 W Magnolia Loop, Washougal, WA 98671",1145000,5,4.5,4067,45.598737,-122.382538,/WA/Washougal/900-W-Magnolia-Loop-98671/home/172612470,https://ssl.cdn-redfin.com/photo/1/islphoto/864/genIslnoResize.2442864_0.jpg,2021,8486
209839447,14627127,"108 NE Whitney St, Camas, WA 98607",495000,4,2.0,1452,45.5850393,-122.3734598,/WA/Camas/108-NE-Whitney-St-98607/home/14627127,https://ssl.cdn-redfin.com/photo/84/islphoto/629/genIslnoResize.543468629_0.jpg,1946,7405
209825891,167232436,"4336 NW Paddock Ln, Camas, WA 98607",1795000,3,3.0,3664,45.5830701,-122.454544,/WA/Camas/4336-NW-Paddock-Ln-98607/home/167232436,https://ssl.cdn-redfin.com/photo/84/islphoto/154/genIslnoResize.682932154_2.jpg,2020,11761
209792171,199574720,"600 NW Halifax St Lot 16, Camas, WA 98607",1699000,4,2.5,2925,45.583567,-122.442134,/WA/Camas/600-NW-Halifax-St-98607/unit-16/home/199574720,https://ssl.cdn-redfin.com/photo/84/islphoto/292/genIslnoResize.240631292_0.jpg,2026,7840
209787438,144287065,"6730 NW Longbow Ln, Camas, WA 98607",2995000,4,2.5,4021,45.6279791,-122.4457981,/WA/Camas/6730-NW-Longbow-Ln-98607/home/144287065,https://ssl.cdn-redfin.com/photo/84/islphoto/579/genIslnoResize.270359579_0.jpg,2018,15246
209756393,25871369,"NE Hancock Rd, Camas, WA 98607",425000,,,,45.671911,-122.373936,/WA/Unknown/NE-Hancock-Rd-98607/home/25871369,https://ssl.cdn-redfin.com/photo/84/islphoto/986/genIslnoResize.489816986_1.jpg,,212137
209755496,14601252,"2952 NW Ogden St, Camas, WA 98607",700000,4,2.5,2192,45.6015099,-122.4496044,/WA/Camas/2952-NW-Ogden-St-98607/home/14601252,https://ssl.cdn-redfin.com/photo/84/islphoto/765/genIslnoResize.129728765_1.jpg,1997,6969
209734872,14576238,"3270 NW Ivy Ln, Camas, WA 98607",565000,3,2.5,1734,45.6028736,-122.4210592,/WA/Camas/3270-NW-Ivy-Ln-98607/home/14576238,https://ssl.cdn-redfin.com/photo/84/islphoto/534/genIslnoResize.345692534_0.jpg,1979,20473
209733065,199536816,"558 NW Halifax St Lot 17, Camas, WA 98607",500000,,,,45.583334,-122.442132,/WA/Camas/558-NW-Halifax-St-98607/unit-17/home/199536816,https://ssl.cdn-redfin.com/photo/84/islphoto/146/genIslnoResize.120310146_0.jpg,,7840
209732442,199536178,"703 NW Garden Ct Lot 19, Camas, WA 98607",500000,,,,45.584408,-122.441713,/WA/Camas/703-NW-Garden-Ct-98607/unit-19/home/199536178,https://ssl.cdn-redfin.com/photo/84/islphoto/205/genIslnoResize.134009205_0.jpg,,10018
